"Date","Price","Open","High","Low","Change %"
"Sep 23, 2010","137.305","136.380","137.675","136.330","0.07"
"Sep 24, 2010","137.845","136.880","138.345","136.270","0.39"
"Sep 27, 2010","137.795","137.150","138.265","136.730","-0.04"
"Sep 28, 2010","138.055","137.330","138.595","136.910","0.19"
"Sep 29, 2010","138.305","137.480","139.115","137.360","0.18"
"Sep 30, 2010","138.510","137.590","139.180","137.480","0.15"
"Oct 01, 2010","138.505","137.790","139.295","137.570","-0.00"
"Oct 04, 2010","138.300","137.820","139.020","137.410","-0.15"
"Oct 05, 2010","138.120","137.480","138.510","137.310","-0.13"
"Oct 06, 2010","138.180","137.600","138.580","137.310","0.04"
"Oct 07, 2010","138.290","137.690","138.770","137.350","0.08"
"Oct 08, 2010","138.385","137.500","139.195","137.290","0.07"
"Oct 11, 2010","138.300","138.030","139.040","137.400","-0.06"
"Oct 12, 2010","139.065","137.500","139.125","137.300","0.55"
"Oct 13, 2010","138.500","138.560","139.770","137.500","-0.41"
"Oct 14, 2010","138.660","137.880","139.380","137.310","0.12"
"Oct 15, 2010","138.510","137.860","139.060","137.720","-0.11"
"Oct 18, 2010","138.350","138.120","139.220","136.910","-0.12"
"Oct 19, 2010","138.525","137.690","138.725","137.520","0.13"
"Oct 20, 2010","138.425","137.640","138.855","137.440","-0.07"
"Oct 21, 2010","138.355","137.670","138.975","137.460","-0.05"
"Oct 22, 2010","138.335","137.650","138.925","137.420","-0.01"
"Oct 25, 2010","138.360","137.810","139.530","137.550","0.02"
"Oct 26, 2010","138.480","137.640","138.950","137.560","0.09"
"Oct 27, 2010","138.555","137.620","138.985","137.540","0.05"
"Oct 28, 2010","138.530","137.980","139.100","137.770","-0.02"
"Oct 29, 2010","138.940","138.290","139.100","137.800","0.30"
"Nov 01, 2010","138.160","138.490","139.240","137.390","-0.56"
"Nov 02, 2010","138.175","137.560","138.885","137.320","0.01"
"Nov 03, 2010","138.930","137.620","139.640","137.290","0.55"
"Nov 04, 2010","138.520","138.330","139.020","137.530","-0.30"
"Nov 05, 2010","138.870","138.160","139.370","137.570","0.25"
"Nov 08, 2010","138.860","138.190","139.390","137.630","-0.01"
"Nov 09, 2010","138.590","138.210","139.280","137.700","-0.19"
"Nov 10, 2010","139.625","137.930","139.835","137.530","0.75"
"Nov 11, 2010","139.500","138.860","139.930","138.300","-0.09"
"Nov 12, 2010","139.095","138.830","139.755","138.240","-0.29"
"Nov 15, 2010","139.050","138.870","139.820","138.320","-0.03"
"Nov 16, 2010","138.105","138.610","139.755","137.220","-0.68"
"Nov 17, 2010","139.245","137.630","139.755","137.420","0.83"
"Nov 18, 2010","139.120","138.630","139.640","138.210","-0.09"
"Nov 19, 2010","138.985","138.480","139.565","138.220","-0.10"
"Nov 22, 2010","139.155","138.650","139.955","137.830","0.12"
"Nov 23, 2010","139.090","138.500","139.310","137.540","-0.05"
"Nov 24, 2010","138.830","138.040","139.260","137.670","-0.19"
"Nov 25, 2010","138.830","137.900","139.560","137.800","0.00"
"Nov 26, 2010","138.540","138.070","139.160","137.700","-0.21"
"Nov 29, 2010","137.930","137.960","138.750","136.680","-0.44"
"Nov 30, 2010","138.820","137.310","139.300","136.810","0.65"
"Dec 01, 2010","138.850","138.120","139.380","137.880","0.02"
"Dec 02, 2010","138.825","138.300","139.635","138.000","-0.02"
"Dec 03, 2010","139.610","138.120","139.650","138.040","0.57"
"Dec 06, 2010","139.190","138.770","139.890","138.200","-0.30"
"Dec 07, 2010","139.145","138.490","139.765","137.990","-0.03"
"Dec 08, 2010","139.180","138.500","139.370","137.630","0.03"
"Dec 09, 2010","139.225","138.510","139.865","138.250","0.03"
"Dec 10, 2010","139.110","138.510","139.320","138.090","-0.08"
"Dec 13, 2010","139.240","138.480","139.740","138.210","0.09"
"Dec 14, 2010","139.175","138.510","140.005","138.230","-0.05"
"Dec 15, 2010","139.255","138.440","139.795","137.470","0.06"
"Dec 16, 2010","139.220","138.740","139.840","137.940","-0.03"
"Dec 17, 2010","138.890","138.510","139.550","138.110","-0.24"
"Dec 20, 2010","138.580","138.190","139.280","137.590","-0.22"
"Dec 21, 2010","137.970","138.220","139.410","137.320","-0.44"
"Dec 22, 2010","138.305","137.570","138.825","137.070","0.24"
"Dec 23, 2010","138.220","137.640","138.770","137.010","-0.06"
"Dec 24, 2010","138.405","137.640","138.465","137.220","0.13"
"Dec 27, 2010","138.240","137.960","138.890","137.500","-0.12"
"Dec 28, 2010","138.380","137.740","138.830","137.390","0.10"
"Dec 29, 2010","138.755","137.920","139.145","137.680","0.27"
"Dec 30, 2010","138.475","138.320","139.515","137.710","-0.20"
"Dec 31, 2010","139.100","137.770","139.600","137.610","0.45"
"Jan 03, 2011","138.480","138.120","139.240","137.120","-0.45"
"Jan 04, 2011","138.800","137.970","139.390","137.620","0.23"
"Jan 05, 2011","138.795","138.160","139.215","137.770","-0.00"
"Jan 06, 2011","138.805","138.260","139.425","137.440","0.01"
"Jan 07, 2011","137.960","138.110","139.000","137.090","-0.61"
"Jan 10, 2011","138.090","137.120","138.540","137.020","0.09"
"Jan 11, 2011","138.160","137.640","138.610","137.510","0.05"
"Jan 12, 2011","138.390","137.860","138.730","137.270","0.17"
"Jan 13, 2011","138.355","137.940","138.785","137.550","-0.03"
"Jan 14, 2011","138.690","137.860","138.980","137.490","0.24"
"Jan 17, 2011","138.345","138.210","139.055","137.270","-0.25"
"Jan 18, 2011","138.300","137.820","138.630","137.630","-0.03"
"Jan 19, 2011","138.465","137.980","139.845","137.620","0.12"
"Jan 20, 2011","138.685","137.970","139.385","137.760","0.16"
"Jan 21, 2011","138.890","138.050","139.200","137.820","0.15"
"Jan 24, 2011","138.995","138.280","139.415","137.840","0.08"
"Jan 25, 2011","139.040","138.390","139.580","138.140","0.03"
"Jan 26, 2011","139.035","138.400","139.755","138.170","-0.00"
"Jan 27, 2011","139.150","138.610","139.880","138.190","0.08"
"Jan 28, 2011","139.315","138.480","139.995","138.400","0.12"
"Jan 31, 2011","139.400","138.640","140.170","138.250","0.06"
"Feb 01, 2011","139.395","138.900","140.135","138.560","-0.00"
"Feb 02, 2011","139.440","138.690","140.100","138.600","0.03"
"Feb 03, 2011","139.575","139.090","140.245","138.660","0.10"
"Feb 04, 2011","141.250","138.800","141.390","138.700","1.20"
"Feb 07, 2011","140.965","140.220","141.395","139.200","-0.20"
"Feb 08, 2011","140.545","140.410","141.825","139.580","-0.30"
"Feb 09, 2011","140.835","139.850","141.095","139.340","0.21"
"Feb 10, 2011","140.160","140.150","140.590","139.390","-0.48"
"Feb 11, 2011","139.805","139.770","140.705","138.590","-0.25"
"Feb 14, 2011","139.155","138.720","140.065","138.340","-0.46"
"Feb 15, 2011","139.615","138.510","140.125","138.250","0.33"
"Feb 16, 2011","138.790","138.820","139.560","138.010","-0.59"
"Feb 17, 2011","138.690","138.340","139.130","138.010","-0.07"
"Feb 18, 2011","139.465","138.180","139.645","138.080","0.56"
"Feb 21, 2011","139.060","139.050","139.690","138.220","-0.29"
"Feb 22, 2011","138.970","138.610","139.650","137.070","-0.06"
"Feb 23, 2011","139.145","138.390","139.945","138.280","0.13"
"Feb 24, 2011","139.725","138.490","140.285","138.400","0.42"
"Feb 25, 2011","139.885","138.960","140.385","138.840","0.11"
"Feb 28, 2011","140.065","139.360","140.425","138.870","0.13"
"Mar 01, 2011","139.915","139.460","140.355","138.950","-0.11"
"Mar 02, 2011","139.665","139.320","140.115","138.920","-0.18"
"Mar 03, 2011","140.150","139.140","140.730","139.030","0.35"
"Mar 04, 2011","140.230","139.850","140.870","139.230","0.06"
"Mar 07, 2011","140.215","139.600","140.625","139.380","-0.01"
"Mar 08, 2011","140.250","140.060","140.800","139.390","0.02"
"Mar 09, 2011","140.235","139.620","140.675","139.160","-0.01"
"Mar 10, 2011","140.460","139.610","140.740","139.300","0.16"
"Mar 11, 2011","140.105","139.780","140.535","139.270","-0.25"
"Mar 14, 2011","139.895","139.440","140.075","139.310","-0.15"
"Mar 15, 2011","139.920","139.510","140.280","138.860","0.02"
"Mar 16, 2011","139.830","139.580","140.350","139.190","-0.06"
"Mar 17, 2011","140.160","139.340","140.690","139.170","0.24"
"Mar 18, 2011","140.230","139.630","140.970","139.280","0.05"
"Mar 21, 2011","140.245","139.820","141.255","139.330","0.01"
"Mar 22, 2011","140.285","139.390","140.415","139.290","0.03"
"Mar 23, 2011","140.295","139.370","140.685","139.320","0.01"
"Mar 24, 2011","140.170","139.680","140.790","139.400","-0.09"
"Mar 25, 2011","140.205","139.600","140.845","139.500","0.02"
"Mar 28, 2011","140.255","139.790","140.915","139.350","0.04"
"Mar 29, 2011","140.260","139.670","140.920","139.190","0.00"
"Mar 30, 2011","140.160","139.700","140.740","139.590","-0.07"
"Mar 31, 2011","140.430","139.740","141.410","139.600","0.19"
"Apr 01, 2011","141.180","139.700","141.770","139.620","0.53"
"Apr 04, 2011","140.820","140.580","141.460","139.830","-0.25"
"Apr 05, 2011","140.835","140.360","141.505","140.080","0.01"
"Apr 06, 2011","141.450","140.170","141.730","140.090","0.44"
"Apr 07, 2011","141.465","140.800","141.735","140.230","0.01"
"Apr 08, 2011","142.235","141.010","142.335","140.550","0.54"
"Apr 11, 2011","141.570","141.380","142.250","140.730","-0.47"
"Apr 12, 2011","141.750","141.240","142.090","140.410","0.13"
"Apr 13, 2011","141.865","140.920","142.215","140.710","0.08"
"Apr 14, 2011","141.965","141.300","142.165","140.830","0.07"
"Apr 15, 2011","141.960","141.450","142.230","140.810","-0.00"
"Apr 18, 2011","141.725","141.360","142.065","140.760","-0.17"
"Apr 19, 2011","141.475","141.240","141.835","140.460","-0.18"
"Apr 20, 2011","141.685","140.950","141.815","140.530","0.15"
"Apr 21, 2011","141.880","141.150","142.280","140.560","0.14"
